French,English, Pronunciation
partie,part, pronunciation
histoire,history, pronunciation
chercher,search, pronunciation
police,police, pronunciation
aide,help, pronunciation
demande,request, pronunciation
genre,kind, pronunciation
mois,month, pronunciation
frère,brother, pronunciation
car,because, pronunciation
mettre,to put, pronunciation
eux,them, pronunciation
ville,city, pronunciation
parlé,speak, pronunciation
arrivé,come, pronunciation
devrait,should, pronunciation
bébé,baby, pronunciation
longtemps,long time, pronunciation
heures,hours, pronunciation
pendant,while, pronunciation
revoir,meet again, pronunciation
place,square, pronunciation
étaient,were, pronunciation
attention,Warning, pronunciation
voici,here is, pronunciation
affaire,case, pronunciation
donner,give, pronunciation
leurs,their, pronunciation
train,train, pronunciation
corps,body, pronunciation
endroit,place, pronunciation
yeux,eyes, pronunciation
façon,way, pronunciation
écoute,listen, pronunciation
dont,whose, pronunciation
trouve,find, pronunciation
premier,first, pronunciation
première,first, pronunciation
côté,side, pronunciation
pouvoir,power, pronunciation
sois,be, pronunciation
tiens,here, pronunciation
matin,morning, pronunciation
tellement,so much, pronunciation
suite,after, pronunciation
pardon,sorry, pronunciation
venez,come, pronunciation
devant,in front of, pronunciation
vers,towards, pronunciation
chambre,bedroom, pronunciation
droit,law, pronunciation
aimerais,would like to, pronunciation
mari,husband, pronunciation
cause,cause, pronunciation
enfin,finally, pronunciation
espère,hope, pronunciation
attendez,Wait, pronunciation
boulot,job, pronunciation
arrêter,Stop, pronunciation
compte,account, pronunciation
donne,given, pronunciation
fin,end, pronunciation
croire,believe, pronunciation
chérie,sweetheart, pronunciation
gros,large, pronunciation
aura,will have, pronunciation
filles,girls, pronunciation
jouer,to play, pronunciation
